recipe_name,prep_time,cook_time,total_time,ingredients_list,direction_list,calories,grams_of_fat,grams_of_carbs,grams_of_protein
Purple Mashed Potatoes,10 mins,45 mins,55 mins,"purple sweet potatoes, or more to taste,coconut milk,lime, juiced,salt and ground black pepper to taste"," Preheat the oven to 375 degrees F (190 degrees C).
, Poke holes all over potatoes with a fork. Arrange in a baking dish.
, Bake in the preheated oven until purple potatoes are easily pierced with a knife, about 45 minutes.
, Cut purple potatoes in half, widthwise, on a cutting board. Scoop flesh into a mixing bowl. Add coconut milk, lime juice, salt, and pepper to taste. Beat with an electric mixer until smooth.
",128,8g ,14g ,2g 
Ube Halaya,20 mins,45 mins,50 mins,"ube (purple yams), peeled,coconut milk,sweetened condensed milk,brown sugar,evaporated milk,butter,vanilla extract (Optional)"," Place yams into a large pot and cover with water; bring to a boil. Reduce heat to medium-low and simmer until tender, about 20 minutes. Drain and cool until safe to handle, about 20 minutes. Grate yams into the pot.
, Add coconut milk, sweetened condensed milk, brown sugar, evaporated milk, butter, and vanilla extract to the pot over low heat. Cook, stirring constantly, until thick and sticky, about 20 minutes; mixture should be able to drop into room-temperature water and form a small ball when done.
, Transfer mixture into greased molds and chill until set, about 30 minutes.
",392,12g ,68g ,5g 
Kahlua Sweet Potatoes,10 mins,30 mins,40 mins,"cut yams, drained,milk,brown sugar,butter, cut into small pieces,coffee-flavored liqueur (such as Kahlua®)"," Preheat oven to 350 degrees F (175 degrees C).
, Spread yams into a casserole dish. Pour milk over yams and sprinkle with brown sugar. Dot yams with butter pieces. Pour coffee-flavored liqueur over the top.
, Bake in the preheated oven until heated through and bubbling, about 30 minutes.
",252,5g ,42g ,1g 
Spicy African Yam Soup,10 mins,30 mins,40 mins,"vegetable oil,onion, chopped,sweet potato, peeled and diced,garlic, minced,chicken broth,dried thyme,ground cumin,chunky salsa,garbanzo beans, drained,diced zucchini,cooked rice,creamy peanut butter"," Heat the oil in a stockpot over medium heat. Saute onion, sweet potato, and garlic until onion is soft. Turn down heat if necessary to prevent burning.
, Stir in the chicken broth, thyme and cumin. Bring to a boil, cover and simmer for about 15 minutes. Stir in salsa, garbanzo beans and zucchini. Simmer until tender, about 15 minutes.
, Stir in the cooked rice and peanut butter until the peanut butter has dissolved. Serve hot with pita chips and a green salad.
",345,7g ,62g ,12g 
Roasted Sweet Potato and Kale Salad,20 mins,20 mins,35 mins,"sweet potatoes or jewel yams, cut into 1-inch cubes,olive oil,salt and freshly ground black pepper to taste,olive oil,onion, sliced,garlic, minced,kale, torn into bite-sized pieces,red wine vinegar,chopped fresh thyme"," Preheat the oven to 400 degrees F (200 degrees C). Toss sweet potato cubes with 2 tablespoons of olive oil in a bowl. Season to taste with salt and pepper; arrange evenly onto a baking sheet.
, Bake in the preheated oven until the yams are tender, 20 to 25 minutes. Cool to room temperature in the refrigerator.
, Meanwhile, heat remaining 1 tablespoon of olive oil in a large skillet over medium heat. Add onion and garlic; cook and stir until onion has caramelized to a golden brown, about 15 minutes. Stir in kale, cooking until wilted and tender. Transfer kale mixture to a bowl; cool to room temperature in the refrigerator.
, Once all the ingredients have cooled, combine yams, kale, red wine vinegar, and fresh thyme in a bowl. Season to taste with salt and pepper, and gently stir to combine.
",274,8g ,49g ,5g 
Easy and Delicious Purple Yam (Ube) Cookies,20 mins,8 mins,5 mins,"white sugar,vegetable oil,eggs,vanilla extract,salt,baking powder,purple yam powder, or more to taste,all-purpose flour"," Preheat oven to 400 degrees F (200 degrees C). Line a baking sheet with parchment paper or grease lightly.
, Mix sugar, oil, eggs, vanilla extract, salt, baking powder, purple yam powder, and flour, in this order, in a large bowl until dough is well blended. Drop tablespoons of dough onto the baking sheet.
, Bake in the preheated oven until cookies look firm, 8 to 10 minutes. Cool for at least 5 minutes before gently transferring to a wire rack.
",134,7g ,17g ,2g 
Camotes al Horno (Baked Yams),10 mins,15 mins,25 mins,"yams,butter,honey,white sugar"," Preheat the oven to 250 degrees F (120 degrees C). Lightly grease a 9x13-inch baking dish.
, Bring a large pot of lightly salted water to a boil. Cook yams in boiling water until tender, about 10 minutes. Drain.
, Arrange yams in the prepared baking dish. Cut a slit down the middle of each yam and dab 1 tablespoon butter into each slit.
, Bake in the preheated oven until golden, 5 to 10 minutes.
, Spoon 1 teaspoon honey into each yam; sprinkle each with 1/2 teaspoon sugar to serve.
",546,12g ,106g ,6g 
Golden Yam Brownies,30 mins,30 mins, 1 hr,"butter,packed brown sugar,white sugar,eggs,vanilla extract,all-purpose flour,baking powder,salt,peeled and finely shredded yam,confectioners' sugar,butter or margarine,milk"," Preheat the oven to 350 degrees F (175 degrees C). Grease a 9x13 inch baking dish.
, In a large bowl, cream together the butter, brown sugar, and white sugar until smooth. Beat in the eggs one at a time, then stir in the vanilla. Combine the flour, baking powder, and salt; stir into the batter just until blended. Fold in the shredded yam. Spread the batter evenly in the greased baking dish.
, Bake for 30 minutes in the preheated oven, until a toothpick inserted into the center, comes out clean. Mix together the confectioners' sugar, butter and milk until smooth. Spread over the brownies while they are still warm. They will absorb some of the glaze. Serve hot or warm.
",221,10g ,32g ,2g 
Mom's Candied Yams with Caramel,15 mins,40 mins,55 mins,"sweet potatoes, drained and mashed,crushed pineapple, drained,butter,brown sugar,salt,egg, beaten,ground cinnamon,caramel topping,marshmallows, divided"," Preheat oven to 350 degrees F (175 degrees C).
, Mix sweet potatoes, pineapple, butter, brown sugar, salt, egg, and cinnamon together in a bowl. Pour half the sweet potato mixture into a 9x9-inch casserole dish. Pour caramel sauce over sweet potatoes; top with 1 cup marshmallows. Spread the remaining sweet potato mixture over marshmallow layer.
, Bake in the preheated oven for 30 minutes. Add the remaining 1 cup marshmallows and bake until marshmallows are golden brown, about 10 more minutes.
",273,7g ,51g ,3g 
Vegan Butternut Squash Soup,45 mins,40 mins, 1 hr 25 mins,"olive oil,onions, chopped,garlic,ginger, minced,salt, divided,allspice,ground nutmeg,ground cinnamon,paprika,ground cloves,ground cumin,ground coriander,red pepper flakes,butternut squash, peeled and chopped,yam, peeled and chopped,carrots, peeled and chopped,celery, chopped,water, or as needed,maple syrup,apple cider vinegar or lemon juice"," Heat olive oil in a large saucepan over medium heat. Add onions, garlic, and ginger. Cook and stir until browned, about 5 minutes. Stir in ½ teaspoon salt, allspice, nutmeg, cinnamon, cumin, cloves, coriander, paprika, and chili flakes. Add butternut squash, yam, carrots, and celery. Add enough water to just cover.
, Increase heat and bring soup to a boil. Reduce heat and simmer until all vegetables are fork-tender, 30 to 45 minutes.
, Fill a blender halfway with soup. Cover and hold lid down with a potholder; pulse a few times before leaving on to blend. Pour back into the saucepan. Repeat with remaining soup. Add maple syrup, apple cider vinegar, and remaining 1 teaspoon salt.
",248,5g ,51g ,4g 
Candied Yams Casserole with Pecans,15 mins,35 mins,50 mins,"cut yams, drained,white sugar,whole milk,salted butter, softened,eggs, beaten,brown sugar,chopped pecans,salted butter, softened,all-purpose flour"," Preheat oven to 350 degrees F (175 degrees C). Grease an 8-inch square baking dish.
, Put yams in a microwave safe bowl; heat in the microwave oven until softened, about 75 seconds.
, Transfer cooked yams to a large mixing bowl; add white sugar, milk, 1/2 cup butter, and eggs and beat with a hand mixer until smooth. Pour the yam mixture into the prepared baking dish.
, Mix brown sugar, pecans, 1/2 cup butter, and flour together in a bowl with a wooden spoon until crumbly, sprinkle over the yam mixture to cover.
, Bake in preheated oven until golden brown, about 30 minutes.
",821,46g ,100g ,7g 
Baked Yam Fries with Dip,10 mins,25 mins,35 mins,"olive oil,yams, peeled and cut into wedges,seasoned salt,fat-free sour cream,mayonnaise,taco seasoning,paprika"," Preheat an oven to 350 degrees F (175 degrees C). Spread the olive oil over a baking sheet.
, Arrange the yams on the prepared baking sheet in a single layer; season with the seasoned salt.
, Bake the yams in the preheated oven until soft, about 25 minutes.
, While the yams bake, stir the sour cream, mayonnaise, taco seasoning, and paprika together in a small bowl. Serve as a dip for the yams.
",529,5g ,114g ,9g 
Grilled Yams,5 mins,20 mins,25 mins,"olive oil-flavored cooking spray,yam, peeled and cut into 1/2 inch thick slices,salt to taste,butter"," Preheat the grill to high heat and lightly oil the grate.
, Coat yam slices with cooking spray and season with salt.
, Arrange yam slices on the grate crosswise, so they don't fall through. Cook until tender and glazed, 10 to 12 minutes per side. Serve with butter.
",158,3g ,31g ,2g 
Yam Soup,10 mins,45 mins,55 mins,"chicken broth,yams, diced,onion, chopped,curry powder,black pepper,salt,uncooked wild rice,onion powder,garlic powder"," Pour chicken broth into a saucepan with curry powder, salt, pepper, onion powder, and garlic powder. Bring to a boil over medium heat.
, Add yams and onion and simmer for about 20 minutes.
, Add rice and cook until rice is tender, another 20 minutes.
",286,1g ,66g ,6g 
Hot Ube Pandesal (Filipino Purple Yam Bread Rolls),25 mins,20 mins, 1 hr 50 mins,"2% milk ,unsalted butter,eggs,salt,bread flour,purple yam powder, or more to taste,bread machine yeast,unseasoned bread crumbs, or as needed"," Pour milk into a microwave-safe bowl. Heat in the microwave until warm, about 1 minute.
, Place butter in a microwave-safe bowl. Heat in the microwave until melted, about 30 seconds.
, Place eggs in a bowl; cover with warm water for 1 minute. Drain and crack into a bowl; beat lightly with a fork.
, Place warm milk, melted butter, beaten eggs, salt, bread flour, purple yam powder, and bread machine yeast into a bread machine in the order listed. Run ""Dough"" cycle.
, Preheat the oven to 375 degrees F (190 degrees C).
, Transfer dough to a greased bowl. Deflate dough with your fist. Cut into 24 equal pieces. Roll each piece into a ball.
, Pour bread crumbs into a shallow plate; roll balls of dough in bread crumbs until coated. Arrange close together, slightly touching, in an ungreased baking pan.
, Bake in the preheated oven until tops are golden brown, about 15 minutes.
",77,5g ,7g ,2g 
Ube Panna Cotta,15 mins,35 mins, 3 hrs 15 mins,"ube (purple yam), peeled,whole milk, divided,coconut milk,white sugar,unflavored gelatin"," Place a steamer insert into a saucepan and fill with water to just below the bottom of the steamer. Bring water to a boil. Add ube, cover, and steam until tender, about 20 minutes. Cool until easily handled, about 10 minutes. Purée ube in a blender or food processor, or thoroughly mash it by hand.
, Combine 1 cup puréed ube, 3/4 cup whole milk, coconut milk, and sugar in a blender or food processor; blend until completely smooth.
, Pour remaining 3/4 cup whole milk into a saucepan. Sprinkle gelatin on top and let stand for 5 minutes.
, Heat milk-gelatin mixture over medium-low heat, stirring until gelatin is dissolved, 3 to 5 minutes. Pour in ube mixture and increase the heat to medium. Heat until steam starts to rise from the mixture, stirring occasionally, 3 to 5 minutes.
, Pour mixture into individual serving glasses or molds. Transfer to the refrigerator and chill until set, about 3 hours.
",220,9g ,32g ,5g 
Ube Milkshake,5 mins,25 mins,30 mins,"ube (purple yam), peeled,milk,vanilla ice cream"," Place a steamer insert into a saucepan and fill with water to just below the bottom of the steamer. Bring water to a boil.
, Add ube, cover, and steam until tender, about 20 minutes. Cool until easily handled, then cut into cubes.
, Combine 1/4 cup cubed ube, milk, and vanilla ice cream in a blender; blend until smooth.
",275,5g ,53g ,8g 
Easy Candy Yams,5 mins,40 mins,45 mins,"chopped sweet potato,caramel topping,brown sugar,butter,miniature marshmallows"," Preheat the oven to 325 degrees F (165 degrees C).
, Place sweet potatoes in an 8x8-inch square baking dish. Pour caramel over potatoes. Sprinkle with sugar and dot with butter.
, Bake in preheated oven 30 minutes, until potatoes are tender and mixture is bubbly. Remove from the oven and sprinkle marshmallows evenly over potatoes. Return to oven until marshmallows are melted and browned, 5 to 10 minutes more.
",413,16g ,69g ,3g 
Air-Fried Purple Yam Fries with Sour Cream Sriracha Sauce,10 mins,25 mins,35 mins,"ube (purple yam), peeled and cut into 1/4-inch-thick fries,olive oil,Sriracha-flavored salt,sour cream,Sriracha sauce, or more to taste"," Preheat an air fryer to 320 degrees F (160 degrees C).
, Place yam fries into a bowl. Add olive oil and Sriracha-flavored salt; toss to coat evenly. Pour into the air fryer basket.
, Cook in the preheated air fryer for 16 minutes. Increase the heat to 400 degrees F (200 degrees C). Shake the basket and cook for 5 minutes more.
, Meanwhile, mix sour cream and Sriracha sauce in a bowl. Serve alongside yam fries.
",242,7g ,43g ,3g 
Slow Cooker Candied Yams,15 mins, 3 hrs, 3 hrs 15 mins,"yams, peeled and cut into 1/2-inch pieces,water,brown sugar,pineapple juice,salted butter, cubed,vanilla extract,ground cinnamon,ground nutmeg,cornstarch,water"," Line a slow cooker with a slow cooker liner or grease with cooking spray.
, Place yams in the bottom of the slow cooker. Top with water, brown sugar, pineapple juice, butter, vanilla, cinnamon, and nutmeg. Stir to evenly distribute sauce.
, Cook on Low for 2 hours. Stir.
, Stir cornstarch and water together in a small bowl to make a slurry. Add to slow cooker and stir to incorporate.
, Cook until yams are fork-tender and sauce has thickened, about 1 hour more.
",396,8g ,78g ,2g 
Candied Yams and Marshmallows,15 mins, 1 hr 30 mins, 1 hr 45 mins,"yams,butter,brown sugar,orange juice,ground nutmeg,marshmallows"," Preheat the oven to 400 degrees F (200 degrees C).
, Roast whole yams in the preheated oven until heated through but not quite tender, 35 to 40 minutes. Allow to cool.
, Reduce the oven heat to 350 degrees F (175 degrees C).
, Melt butter in a large pot over medium heat. Stir brown sugar, orange juice, and nutmeg with the melted butter to dissolve the sugar completely; bring to a boil, reduce heat to low, and cook until the liquid thickens into a syrup, 10 to 15 minutes.
, Peel cooled yams. Cut yams into bite-sized chunks; arrange in a single layer in a 13x9-inch baking dish. Drizzle syrup over the yams.
, Bake in the preheated oven, twice opening the oven to spoon syrup over the yams, until the chunks are fork-tender, about 35 minutes. Arrange marshmallows over the yams and continue baking until the marshmallows are puffy and browned, about 10 minutes more.
",551,4g ,125g ,3g 
Yam and Apple Casserole,30 mins, 2 hrs, 2 hrs 30 mins,"yams,butter,cornstarch,packed brown sugar,apple juice,lemon juice,ground cinnamon,ground allspice,apples - peeled, cored and sliced"," Place yams in a large saucepan with enough water to cover. Bring to a boil, and cook 30 minutes, or until tender but firm. Drain, peel, and cut into 1/3 inch thick slices.
, Preheat oven to 375 degrees F (190 degrees C). Lightly grease a 9x13 inch baking dish.
, In a small saucepan over medium heat, melt the butter with the cornstarch and brown sugar. Mix in the apple juice, lemon juice, cinnamon, and allspice.
, Alternate layers of yams and apples in the prepared baking dish. Pour the apple juice mixture over the layers.
, Cover, and bake 1 hour in the preheated oven. Remove cover, and continue baking 30 minutes. Baste frequently with the juices from the pan to prevent drying.
",420,5g ,93g ,4g 
Slow-Roasted Winter Vegetables,40 mins, 1 hr 30 mins, 2 hrs 10 mins,"butternut squash, chopped into 1/2-inch cubes,yams, chopped into 1/2-inch cubes,sweet potatoes, chopped into 1/2-inch cubes,parsnips, chopped into 1/2-inch cubes, or more to taste,carrots, chopped into 1/2-inch cubes, or more to taste,turnip, chopped into 1/2-inch cubes,fresh mushrooms, quartered, or more to taste,shallots, roughly chopped,garlic, cloves sliced lengthwise in half,fresh rosemary, coarsely chopped,coarse sea salt,ground black pepper,olive oil"," Preheat the oven to 350 degrees F (175 degrees C).
, Place butternut squash, yams, sweet potatoes, parsnips, carrots, turnip, mushrooms, shallots, and garlic in a large bowl. Add rosemary, salt, and pepper. Toss until evenly mixed, then add oil and toss until coated. Pour into large baking pans so that the vegetables are no more than 1 1/2 inches deep.
, Bake in the preheated oven, tossing and scraping the bottom every 30 minutes, until vegetables are very tender, at least 90 minutes; longer is better.
",247,5g ,50g ,4g 
Best Candied Yams with Marshmallows,10 mins,25 mins,35 mins,"aluminum foil,cooking spray,yams in syrup, drained,brown sugar,ground cinnamon,ground cloves,allspice,heavy cream,miniature marshmallows"," Preheat the oven to 400 degrees F (200 degrees C). Coat two pieces aluminum foil with cooking spray.
, Mash yams in a large bowl with a fork. Add brown sugar, cinnamon, cloves, allspice, and heavy cream in the exact order, mixing well after each addition; divide between two 8-inch square baking dishes. Divide marshmallows between each dish to cover; cover with aluminum foil, coated-sides down.
, Bake in the preheated oven for 20 minutes. Remove foil; bake 5 minutes more.
",325,2g ,75g ,3g 
Puerto Rican Mondongo,40 mins, 2 hrs 40 mins,10 mins,"beef tripe, trimmed of fat and cut into cubes,lemons, juiced,water to cover,beef stock, divided,cassava, peeled and cubed,potatoes, peeled and cubed,yams, peeled and cubed,pumpkin, peeled and cubed,sweet potatoes, peeled and cubed,tomato sauce,sofrito,corn, cut into 1-inch pieces,salt and ground black pepper to taste"," Combine tripe and lemon juice in a large bowl. Let sit, about 10 minutes.
, Transfer tripe and lemon juice to a large pot. Cover with 2 inches of water. Bring to a boil; reduce heat to low and cook, stirring occasionally, until slightly softened, about 10 minutes. Drain and rinse tripe.
, Return tripe to the pot. Cover with 2 quarts beef broth, adding water as needed. Bring to a boil; reduce heat and cook until tender, about 2 hours.
, Stir remaining beef stock, cassava, potatoes, yams, pumpkin, sweet potatoes, tomato sauce, sofrito, and corn into the pot. Cook until tender, about 20 minutes more. Season with salt and pepper.
",351,10g ,43g ,22g 
Yummy Yam Casserole,30 mins,25 mins, 1 hr,"yams,eggs,brown sugar,butter, melted,salt,ground cinnamon,ground allspice,ground nutmeg,pecan halves,brown sugar,melted butter"," Preheat oven to 375 degrees F (190 degrees C).
, Poke yams in several places with a fork, then cook them on high power in microwave oven until heated through and soft, about 20 minutes. When cooled, remove skins and place the yams in a large bowl.
, Beat yams until smooth. Then beat in one egg at a time, blending after each addition. Stir in 1/4 cup brown sugar, 1/8 cup melted butter, salt, cinnamon, allspice and nutmeg; beat until the mixture is light and fluffy.
, Transfer mixture to an ungreased 3 quart casserole dish. Arrange the pecans in a single layer on top. Sprinkle with remaining brown sugar and drizzle 1/4 cup melted butter over the top.
, Bake for 25 minutes in the preheated oven, or until browned and bubbly.
",491,26g ,65g ,8g 
Thanksgiving Yams,5 mins,20 mins,25 mins,"sweet potatoes,butter,lemon juice,gingersnap cookies,miniature marshmallows"," In a medium saucepan over medium heat, mix the sweet potatoes, butter and lemon juice. Break the gingersnap cookies into the mixture. Stirring occasionally, cook until thick, about 15 minutes.
, Cover the mixture with desired quantity of marshmallows. Remove from heat and cover 5 minutes, or until marshmallows have melted. Serve warm.
",344,5g ,73g ,4g 
Ube-Macapuno Cake,30 mins,30 mins, 1 hr,"cake flour,baking powder,salt,ube (purple yam), cooked and finely grated,milk,vanilla extract,egg yolks, lightly beaten,corn syrup,vegetable oil,egg whites,cream of tartar,white sugar,red food color,blue food coloring,macapuno (coconut preserves),evaporated milk, chilled,white sugar,butter, softened,violet food coloring"," Preheat the oven to 325 degrees F (165 degrees C). Line the bottom of three 9-inch round pans with parchment paper, but do not grease.
, Make the ube cake: Mix flour, baking powder, and salt together in a large bowl; set aside. Place grated ube in a large bowl. Combine 3/4 cup milk and 1 teaspoon vanilla; gradually blend into ube until smooth. Blend in egg yolks, corn syrup, and oil. Beat in flour mixture until smooth; set aside.
, Combine egg whites and cream of tartar in a large bowl; beat with an electric mixer until foamy. Gradually add sugar, then red and blue food coloring, continuing to beat until stiff peaks form. Fold 1/3 of the whites into batter, then quickly fold in remaining whites until no streaks remain. Pour batter into prepared pans.
, Bake in the preheated oven until a toothpick inserted into the center comes out clean, about 30 to 35 minutes. Invert pans on a wire rack and let cool upside down. When cool, run a knife around the edges to loosen cake from the pans. Spread coconut preserves onto the cooled cake layers; stack layers on a cake stand or serving plate.
, Make the buttercream: Combine evaporated milk and 3/4 cup sugar; set aside. Combine butter and sugar in a large bowl; beat with an electric mixer until smooth and creamy. Beat in food coloring, one drop at a time, until the desired tint is achieved. Frost top and sides of cake with buttercream.
",714,44g ,75g ,12g 
Roasted Yams,10 mins,30 mins,40 mins,"yam, peeled and cut into 1/4 inch thick slices,kosher salt and ground black pepper to taste,olive oil"," Preheat the oven to 350 degrees F (175 degrees C). Line a baking sheet or shallow baking dish with aluminum foil.
, Arrange yam slices in the prepared pan so they are overlapping slightly. Season with salt and pepper and then drizzle olive oil over them as evenly as possible.
,Dotdash Meredith Food Studios, Bake in the preheated oven until tender and yam slices have begun to wrinkle around the edges, about 30 minutes.
,Dotdash Meredith Food Studios",388,14g ,63g ,4g 
Ube Cheesecake,40 mins, 1 hr 5 mins, 2 hrs 35 mins,"cooking spray,graham cracker crumbs,unsalted butter, melted,granulated sugar,kosher salt,cream cheese, softened,granulated sugar,ube jam (Ube Halaya),heavy whipping cream,eggs,ube extract,vanilla extract,kosher salt,white chocolate chips,heavy whipping cream,ube extract"," Preheat the oven to 325 degrees F (165 degrees C). Lightly spray a 9-inch springform pan with cooking spray. Wrap outside of the pan in a double layer of heavy-duty aluminum foil, making sure to reach all the way up the sides of the pan.
, Prepare the Crust: Stir together graham cracker crumbs, melted butter, granulated sugar, and salt in a bowl until thoroughly combined. Press mixture onto the bottom of the prepared springform pan.
,Dotdash Meredith Food Studios, Bake in the preheated oven until set and lightly golden, about 15 minutes. Transfer to a wire rack and let cool for 20 minutes.
,Dotdash Meredith Food Studios, Prepare the Filling: Beat cream cheese with a stand mixer fitted with a paddle attachment on medium speed until creamy and smooth, about 2 minutes. Add sugar and beat until combined, then add ube jam and cream, beating just until no streaks remain, stopping to scrape down the sides and bottom of the bowl as needed. Add eggs, 1 at a time, beating on low just until combined after each addition. Add ube extract, vanilla extract, and salt and beat on low until just combined. Pour filling into the cooled crust.
,Dotdash Meredith Food Studios, Place springform pan in a large roasting pan. Add hot water to roasting pan to reach halfway up sides of springform pan.
,Dotdash Meredith Food Studios, Return to the preheated oven and bake until the center is almost set but still slightly wobbly, 55 to 60 minutes. Turn off oven, and let cheesecake stand in oven, with door ajar (about 3 inches), for 1 hour.
, Remove cheesecake from roasting pan, and place on a wire rack. Remove foil from outside of the pan, and cool cheesecake to room temperature, about 1 hour. Cover with plastic wrap and transfer to the refrigerator to chill completely, at least 8 or up to 24 hours.
,Dotdash Meredith Food Studios, Prepare Ganache: Place chocolate chips in a medium heat-proof bowl. Heat cream in a small saucepan over medium until steaming, then pour over the chocolate. Let stand for 1 minute, then whisk until chocolate is melted and smooth. Add ube extract and whisk to combine. Set aside to cool until thickened, about 15 minutes.
,Dotdash Meredith Food Studios, Run a knife around outer edge of cheesecake to loosen from sides of pan. Remove sides of pan. Transfer cheesecake to a serving plate or platter. Pour ganache over the top of the cheesecake, letting it drip off the sides. Transfer to the refrigerator and chill until set, about 20 minutes.
,Dotdash Meredith Food Studios",479,39g ,25g ,9g 
Candied Yams,15 mins,25 mins,40 mins,"sweet potatoes, drained,butter, cut into pieces,brown sugar,miniature marshmallows"," Gather all ingredients. Preheat the oven to 400 degrees F (200 degrees C).
,Dotdash Meredith Food Studios, Place drained sweet potatoes in a medium baking dish. Distribute butter pieces evenly over the sweet potatoes.
,Dotdash Meredith Food Studios, Sprinkle with brown sugar. Layer with miniature marshmallows.
,Dotdash Meredith Food Studios, Bake in the preheated oven until sweet potatoes are tender and marshmallows have melted, about 20 to 25 minutes.
,Dotdash Meredith Food Studios, Enjoy!
,Dotdash Meredith Food Studios",282,8g ,51g ,2g 
Oatmeal Whoopie Pies,40 mins,10 mins,50 mins,"packed brown sugar,unsalted butter, softened,eggs,all-purpose flour,ground cinnamon,baking powder,baking soda,salt,boiling water,quick cooking oats,confectioners' sugar,egg white, beaten,milk,vanilla extract,shortening"," Preheat the oven to 350 degrees F (175 degrees C). Lightly grease 2 baking sheets.
, Make the cookies: Beat brown sugar and butter in a large bowl with an electric mixer until light and fluffy. Add eggs and mix well.
, Mix together flour, cinnamon, baking powder, baking soda, and salt in a separate bowl. Add flour mixture to wet ingredients in 2 batches, alternating with boiling water, mixing batter after each addition until well combined. Stir in oats.
, Drop spoonfuls of dough 2 inches apart onto the prepared baking sheets.
, Bake in the preheated oven for 10 to 12 minutes, switching racks halfway through. Remove from the oven and transfer to wire racks to cool.
, While the cookies are cooling, make the filling: Beat 1 cup confectioners' sugar, egg white, milk, and vanilla until combined. Beat in shortening and remaining 1 cup confectioners' sugar until light and creamy.
, Spread filling onto 1/2 of the cooled cookies, then sandwich with remaining cookies.
",396,18g ,57g ,4g 
Bacon for the Family or a Crowd,5 mins,15 mins,20 mins,thick sliced bacon," Preheat the oven to 350 degrees F (175 degrees C). Line a baking sheet with aluminum foil.
,Dotdash Meredith Food Studios, Arrange the bacon in a single layer on the prepared sheet with the edges touching or slightly overlapping.
,Dotdash Meredith Food Studios, Bake in the preheated oven to desired degree of doneness, 10 to 15 minutes. Remove bacon from the baking sheet with tongs or a fork, and drain on a paper towel-lined plate.
,Dotdash Meredith Food Studios",203,16g ,1g ,14g 
Herbs de Provence,5 mins,5 mins,48 ,"dried rosemary,fennel seed,dried savory,dried thyme,dried basil,dried marjoram,dried lavender flowers,dried Italian parsley,dried oregano,dried tarragon,bay powder"," Gather all ingredients.
,Dotdash Meredith Food Studios, Grind rosemary and fennel seed in a spice grinder; transfer to a mixing bowl.
,Dotdash Meredith Food Studios, Add savory, thyme, basil, marjoram, lavender, parsley, oregano, tarragon, and bay powder to the bowl; stir well. Store in an airtight container between uses.
,Dotdash Meredith Food Studios",4,0g ,1g ,0g 
Absolutely Fabulous Greek Salad Dressing,10 mins,10 mins,120 ,"olive oil,garlic powder,dried oregano,dried basil,ground black pepper,salt,onion powder,Dijon-style mustard,red wine vinegar"," Gather all ingredients.
,Dotdash Meredith Food Studios, Mix olive oil, garlic powder, oregano, basil, pepper, salt, onion powder, and Dijon-style mustard together in a very large container. Pour in vinegar slowly while mixing vigorously until well blended. Store tightly covered at room temperature.
,Dotdash Meredith Food Studios, Pour over salad and enjoy!
,DOTDASH MEREDITH FOOD STUDIOS ",104,11g ,2g ,0g 
Hungarian Goulash,15 mins, 2 hrs, 2 hrs 15 mins,"vegetable oil,onions, sliced,Hungarian sweet paprika,salt, divided,ground black pepper,beef stew meat, cut into 1 1/2 inch cubes,water,tomato paste,garlic, minced"," Heat oil in a large pot or Dutch oven over medium heat. Cook and stir onions in oil until soft, 2 to 4 minutes. Remove onions and set them aside.
, Combine paprika, 2 teaspoons salt, and pepper in a medium bowl. Coat beef cubes in spice mixture, and cook in the onion pot until brown on all sides.
, Return onions to the pot with beef; pour in water, tomato paste, garlic, and remaining 1 teaspoon salt. Bring to a boil, then reduce heat to low. Cover and simmer, stirring occasionally, until meat is tender, 1 1/2 to 2 hours.
",549,42g ,9g ,33g 
Baked Sweet Potatoes,15 mins,45 mins, 1 hr,"olive oil,sweet potatoes,dried oregano or to taste,salt,ground black pepper"," Gather all ingredients.
,Dotdash Meredith Food Studios, Preheat the oven to 350 degrees F (175 degrees C). Coat the bottom of a glass or nonstick baking dish with olive oil, just enough to coat.
, Wash and peel sweet potatoes; cut into medium pieces.
,Dotdash Meredith Food Studios,Dotdash Meredith Food Studios, Place in the baking dish and stir to coat with olive oil. Sprinkle with oregano, salt, and pepper.
,Dotdash Meredith Food Studios, Bake in the preheated oven until soft and fork-tender, about 45 minutes to 1 hour.
, Enjoy!
,DOTDASH MEREDITH FOOD STUDIOS ",181,7g ,28g ,3g 
Blackened Seasoning Mix,5 mins,5 mins,12 ,"paprika,garlic powder,onion powder,ground dried thyme,ground black pepper,cayenne pepper,dried basil,dried oregano"," Gather all ingredients.
,Dotdash Meredith Food Studios, Stir together paprika, garlic powder, onion powder, thyme, black pepper, cayenne pepper, basil, and oregano in a bowl until evenly mixed.
,Dotdash Meredith Food Studios, Store in an airtight container in a cool, dry place.
,Dotdash Meredith Food Studios",9,0g ,2g ,0g 
